name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung, gewahrte_betrage ,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage
"Land Mecklenburg-Vorpommern vertreten durch 
das Straßenbauamt Schwerin",Kosten für Leistungen von Architekten und Ingenieuren,2007,"21,876,181.84",
"Land Mecklenburg-Vorpommern, vertreten durch 
Straßenbauamt Schwerin","Um- und Ausbau von Landesstraßen nach Maßgabe des 
Straßenbauplanes",2007,"15,314,749.30",
Nordex Energy GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Windkraftanlagen einschließlich der Rotorblattfertigung in 18147 
Rostock, Große Rampe 3",2007,"15,064,100.00",
Landeshauptstadt Schwerin ,"Schlosspromenade Schwerin, Teilbereich 1 ""Grüne"" und 
""Platzartige Promenade""",2007,"14,807,444.83",
Hansestadt Rostock ,"Maritimes Gewerbegebiet im Seehafen Rostock, 3. Bauabschnitt",2008,"13,225,093.00",
Gemeinde Ostseebad Boltenhagen,"Erschließung Marina Boltenhagen (Lose 10, 12 und 23)",2007,"12,808,145.10",
"Kur- und Strandhotel Usedom GmbH & Co. 
Investitions - KG","Errichtung einer Betriebsstätte des Frendenverkehrs (Grandhotel 
mit Villa Meeresstrand, Mare Balticum und Seepavillon) in 17429 
Seebad Heringsdorf / OT Bansin, Strandpromenade 20, 21 und 23,
PRIMA Rotationsdruck GmbH & Co. KG ,"Errichtung einer Betriebsstätte zur Herstellung von 
Druckerzeugnissen in 19243 Wittenburg, Wölzower Weg 14a, 
Landkreis Ludwigslust",2007,"886,500.00"
"SCHOTTEL GmbH Niederlassung Wismar 
SCHOTTEL Schiffsmaschinen GmbH","Erweiterung einer Betriebsstätte zur Herstellung von Antriebs- und 
Steuerungselementen in 23970 Wismar, Kanalstraße 18, 
Hansestadt Wismar",2007,"864,500.00"
"ZV ""Kühlung"" Wasserversorgung und 
Abwasserbeseitigung Bad Doberan",Abwasserbeseitigung Bad Doberan (2008 bis 2011),2008,"846,000.00"
"Ferdinand Schultz Nachfolger Fahrzeugtechnik 
GmbH","Errichtung einer Betriebsstätte zur Entwicklung und Herstellung 
von Fahrzeugaufbauten sowie die Durchführung von 
Serviceleistungen in 18182 Bentwisch, Hansestraße 18 
(Verlagerung aus 18146 Rostock, Altkarlshof 6), Landkreis Bad 
Doberan",2007,"813,600.00"
"INTERSEROH-Metallaufbereitung Rostock 
GmbH ","Erweiterung einer Betriebsstätte mit dem Geschäftsgegenstand 
des Recycling von Schrott in 18069 Rostock, Werkstraße 1, 
Hansestadt Rostock",2008,"813,400.00"
"Zweckverband ""Kühlung"" Wasserversorgung und 
Abwasserbeseitigung","KA Bad Doberan, Neubau der Zulaufkanäle, Abdeckung und 
Auskleidung Einlaufbauwerk, Neubau der Verbindungsleitung 
zwischen BB Becken 1 u. 2 sowie Bio-P-Becken und Pumpwerk, 
Neubau Abluftbehandlung und Abluftleitung",2008,"795,900.00"
"Möwentreff Prerow GmbH (Besitzgesell.) Michael 
Hasse Kinderwelt Prerow & Sau-Fit Prerow 
(Betriebsgesell.)","Errichtung einer Betriebsstätte des Fremdenverkehrs (Kinder- und 
Freizeitzentrum ""Möwentreff Prerow"") in 18375 Prerow, Am 
Hauptübergang 26 a, Landkreis Nordvorpommern",2008,"784,300.00"
"Britta Budeus-Wiegert u. Richard Wiegert in GbR 
(Besitzgesell.) Hotel Bornmühle GmbH & Co. KG 
(Betriebsgesell.)","Erweiterung einer Betriebsstätte des Fremdenverkehrs (Hotel und 
Restaurant) in 17094 Groß Nemerow, Bornmühle 35, Landkreis 
Müritz",2007,"756,800.00"
Cortronik GmbH ,"Erweiterung einer Betriebsstätte zur Entwicklung und Produktion 
biomedizischer Implante in 18119 Hansestadt Rostock, Friedrich-
Barnewitz-Straße 4a, kreisfrei",2008,"754,800.00"
Hanning Elektro-Werke GmbH & Co. KG,„Frequenzgeregeltes Hocheffizienzmotorenprogramm“,2007,"748,260.00"
Hanning Elektro-Werke GmbH & Co. KG ,"Erweiterung einer Betriebsstätte zur Herstellung von 
elektrotechnischen Erzeugnissen in 17367 Eggesin, Binning 5, 
Landkreis Uecker-Randow",2008,"740,600.00"
Universität Rostock Medizinische Fakultät,Interdisziplinäres Forschungs- und Entwicklungsprogramm,2008,"725,530.00"
D.A.S. Data Account System GmbH ,"Errichtung einer Betriebsstätte (Datenbe- und -verarbeitung) in 
18439 Stralsund, Greifswalder Chaussee 84-85, kreisfreie 
Hansestadt Stralsund",2007,"721,100.00"
Service Center PLUS GmbH ,"Errichtung einer Betriebsstätte zum Betreiben eines Call-Centers in
18055 Rostock, Goethestraße 18, kreisfreie Hansestadt Rostock",2007,"688,500.00"
"e.n.o. energy Grundbesitz GmbH & Co. KG 
(Vermieter) e.n.o. ernergy systems GmbH 
(Mieter)","Erweiterung einer Betriebsstätte zur Herstellung von 
Windenergieanlagen in 18055 Rostock, Am Strande 2 (A-
Fördergebiet)",2008,"682,500.00"
Somerset Krakow am See GmbH & Co. KG ,"Errichtung einer Betriebsstätte des Fremdenverkehrs 
(Ferienanlage) in 18292 Krakow, Am Windfang, Landkreis Güstrow",2008,"681,200.00"
"EUROP ASSISTANCE Versicherungs-
Aktiengesellschaft","Errichtung einer Betriebsstätte zum Betreiben eines Call Centers 
(Telekommunikationsdienstleistungen für den Bereich 
Versicherungen) in 18055 Rostock, Am Strande 3A, kreisfreie 
Stadt Rostock",2008,"680,400.00"
Gerlinde Matthä ,"Erwerb einer Betriebsstätte des Fremdenverkehrs (Hotel garni) in 
17429 Seebad Heringsdorf/OT Bansin, Strandpromenade 35, 
Landkreis Ostvorpommern",2007,"674,400.00"
"Land Mecklenburg-Vorpommern vetreten durch 
das Landesamt Rostock",Kosten für Leistungen von Architekten und Ingenieuren,2007,"651,745.15"
WasserZweckVerband Malchin/Stavenhagen,"Ortsentwässerung Stavenhagen, Schmutzwasserkanalisation 
Schultetusstraße",2007,"649,800.00"
VARIOVAC PS SystemPack GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Verpackungsmaschinen in 19246 Zarrentin, Ernst-Litfaß-Str. 6, 
Landreis Ludwigslust",2008,"609,700.00"
IHK Bildungszentrum Schwerin gGmbH ,"Modernisierung der Fachbereiche Elektronik/Elektrotechnik, 
Zerspanungstechnik und eines PC-Kabinetts",2008,"608,522.00"
"Blömer Fleisch Gesellschaft mit beschränkter 
Haftung","Erweiterung einer Betriebsstätte mit dem überwiegenden 
Geschäftsgegenstand der Fleischverarbeitung in 18513 Vorland, 
Dorfstraße, Landkreis Nordvorpommern",2008,"599,100.00"
Landeshauptstadt Schwerin,"Schlosspromenade Abschnitt 3a an der Graf-schack-Allee von der 
Einmündung Geschwister-Scholl-Straße bis zur Schlossbrücke",2008,"595,713.15"
"Hanjo Thamm u. TIL Vermögensverwaltungs 
GbR (Besitzgesellschaft) Goor GmbH 
(Betriebsgesellschaft)","Erweiterung einer Betriebsstätte des Fremdenverkehrs 
(Jugendhotel mit Segelschule) in 18581 Lauterbach, Vilmnitzer 
Weg, Landkreis Rügen",2008,"591,600.00"
Hansestadt Rostock ,Rekonstruktion der Seepromenade Warnemünde,2007,"591,558.33"
"Julian Stern (Besitzgesellschaft) alaris 
Schmetterlingspark Klützer Winkel GmbH 
(Betriebsgesell.)","Errichtung einer Betriebsstätte des Fremdenverkehrs 
(Schmetterlingspark) in 23948 Klütz, An der Festwiese 2, 
Landkreis Nordwestmecklenburg",2008,"591,300.00"
AREVA T&D Messwandler GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Messwandlern und anderen elektronischen und elektrotechnischen 
Geräten in 19288 Ludwigslust, Bauernallee 27, Landkreis 
Ludwigslust",2008,"589,900.00"
SYSGO AG ,"Errichtung einer Betriebsstätte zur Entwicklung von Software nin 
18059 Rostock, Joachim-Jungius-Straße 9, kreisfreie Hansestadt 
Rostock",2008,"587,700.00"
"Resort Hotel GmbH & Co. Objekte Usedom-
Rügen KG Travel Charme Hotel Gesellschaft 
mbH","Erweiterung einer Betriebsstätte des Fremdenverkehrs (Hotel 
""Strandhotel Bansin"") in 17429 Seebad Heringsdorf, OT Bansin, 
Bergstraße 30, Landkreis Ostvorpommern",2007,"585,400.00"
"Hydraulik Schwerin Anlagentechnik GmbH & Co. 
KG","Erweiterung einer Betriebsstätte zur überwiegenden Herstellung 
von hydraulischen Steuerblöcken in 19061 Schwerin, Werkstraße 
4, kreisfreie Stadt Schwerin",2008,"577,800.00"
Landeshauptstadt Schwerin,"Schlosspromenade Abschnitt 2a an der Graf-Schack-Allee vom 
Jägerweg bis zur Einmündung des Mecklenburgstraße",2008,"563,315.28"
Universität Rostock ,"1. MISC Modellierungs- , Informationssystem und 
Simulationscluster, 2. Vernetzter Arbeitzplatzrechner für 
Wissenschaftler in der Forschung",2008,"561,698.69"
PROPHYTA Biologischer Pflanzenschutz GmbH,"Erweiterung einer Betriebsstätte zur Herstellung von 
Schädlingsbekämpfungs- und Pflanzenschutzmitteln in 23970 
Wismar, Lukaswiese 4, Landkreis Nordwestmecklenburg",2008,"560,000.00"
"Land Mecklenburg Vorpommern vertreten durch 
das Straßenbauamt Güstrow",Kosten für Leistungen von Architekten und Ingenieuren,2008,"558,934.70"
"UMC Hotelerrichtungs-, Betriebs- und 
Verwaltungs- GmbH","Errichtung einer Betriebsstätte des Fremdenverkehrs 
(Ferienwohnungen, Pension, Hotel-Zentralverwaltung) in 19412 
Wendorf, hauptstr. 7, 9 und 15, Landkreis Parchim",2007,"554,700.00"
Inselhof GmbH Gaststätte/Beherbergung,"Erweiterung einer Betriebsstätte des Fremdenverkehrs (""Inselhof"" 
Zempin) in 17459 Zempin, Dorfstr. 6a, Landkreis Ostvorpommern 
(Tpurismusschwerpunktraum)",2007,"552,600.00"
LTA Anlagentechnik GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Metallerzeugnissen in 19071 Brüsewitz, Straße der DSF 52, 
Landkreis Nordwestmecklenburg",2008,"549,300.00"
"Frank Godewols und Heiko Pagels in GbR 
(Besitzgesell.) Montagebau-Neptun Rostock 
GmbH (Betriebsgesell.)","Erweiterung einer Betriebsstätte zur Herstellung und Montage von 
Rohr- und Stahlbauerzeugnissen in 18057 Rostock, Neptun allee 
10, Gebäude 545 und 547, kreisfreie Hansestadt Rostock",2007,"546,700.00"
Hubert Börger emano Kunststofftechnik GmbH,"Errichtung einer Betriebsstätte zur Herstellung von 
Kunststofferzeugnissen in 17166 Teterow, Am Kellerholz 10 und 
Am Kellerholz 4-6, Landkreis Güstrow",2008,"540,400.00"
"Meyer Grundstücksverwaltung Leizen GmbH & 
Co. KG (Vermieter) Meyer & Simon Getränke 
GmbH (Mieter)","Erweiterung einer Betriebsstätte des Fachgroßhandels für 
Getränke aller Art in 17209 Leizen, Woldzegartener Weg 37-41, 
Landkreis Müritz",2007,"534,300.00"
Der Wäscher GmbH ,"Errichtung einer betriebsstätte zur Erbringung von Dienstleistungen
(Wäscherei/Textilreinigung) in 18528 Bergen, Tilzower Weg 31, 
Landkreis Rügen",2008,"529,600.00"
"FNG Funk- und Feinmechanik Neustadt-Glewe 
GmbH & Co. KG","Erwerb einer Betriebsstätte zur Erbringung von Dienstleistungen 
im Industrieservice und Montage von funktechnischen 
Einrichtungen in 19303 Neustadt-Glewe, Brauereistr. 39-42, 
Landkreis Ludwigslust",2008,"519,000.00"
Maschinen- und Antriebstechnik GmbH & Co. KG,"Erweiterung einer Betriebssta_tte zur Herstellung von Maschinen fu_r 2008 die Landwirtschaft in 18273 Gu_strow, Glasewitzer Chaussee 30, Landkreis Gu_strow",2008,"515,100.00"
Caterpillar Motoren Rostock GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von Diesel- und 
Gasmotoren in 18119 Rostock, Werftallee 13, Hansestadt Rostock",2007,"514,700.00"
Stadt Neustrelitz,"Ortsentwässerung Neustrelitz, Schmutzwasserkanalisation 
Parkstraße, Friedrich-Ludwig-Jahnstraße und Hertelstraße",2008,"514,100.00"
Abwasserzweckverband Körkwitz,"Ertüchtigung Kläranlage Körkwitz
(Neubau Pufferbehälter 2 x 2.800 m"")",2007,"513,900.00"
Baltic Freizeit GmbH ,"Erweiterung einer Betriebsstätte des Fremdenverkehrs 
(Campingplatz) in 18146 Rostock-Markgrafenheide, 
Budentannenweg 2, kreisfreie Hansestadt Rostock",2007,"513,500.00"
"HAB Service- u. Verw.-gesell. mbH 
(Besitzgesell.) HAB Hallen- u. Anlagenbau GmbH 
(Betriebsgesell.)","Erweiterung einer Betriebsstätte zur Herstellung von 
Stahlkonstruktionen in 17509 Wusterhusen, Greifswalder Straße 
14, Landkreis Ostvorpommern",2008,"501,100.00"
cmc city media consult gembh ,"Errichtung einer Betriebsstätte des Fremdenverkehrs (Hotel) in 
18347 Ahrenshoop, Dorfstr. 22, Landkreis Nordvorpommern",2007,"499,000.00"
Kampf-Fischer-Invest GmbH ,"Erweiterung einer Betriebsstätte des Fremdenverkehrs Hotel 
Lieper Winkel (Hotel.Garni) in 17406 Quilitz, Am Peenestrom und 
17406 Liepe, Poststr. 8, Landkreis Ostvorpommern",2007,"489,000.00"
Michael Franz Hotel & Restaurant Albatros,"Erweiterung einer Betriebsstätte des Fremdenverkehrs (Hotel & 
Restaurant) in 18586 Ostseebad Göhren, Ulmenallee 4 und 5 
(Hotel Albatros), Landkreis Rügen (Tourismusschwerpunktraum)",2007,"489,000.00"
Stadt Neustrelitz ,Reisemobilstellplatz Uferzone Zierker See,2007,"485,568.00"
Müritz-Wasser-/Abwasserzweckverband,"Ortsentwässerung Waren, Schmutzwasserkanalisation ""Am 
Buchenweg"" und ""Eulenstraße""",2007,"483,600.00"
Wasser- und Abwasser-Verband Ueckermünde,"Verlegung eines kombinierten Freigefälle- und 
Druckleitungssystems im Rosenmühler Weg und Klockenberg in 
Ueckermünde",2008,"483,100.00"
LTA Anlagentechnik GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Metallerzeugnissen in 19071 Brüsewitz, Straße der DSF 52, 
Landkreis Nordwestmecklenburg (A-Fördergebiet)",2007,"480,800.00"
Hotel Amsee GmbH ,"Errichtung einer Betriebsstätte des Fremdenverkehrs (Hotel) in 
17192 Waren, Amsee 6, Landkreis Müritz",2007,"471,200.00"
Amt Röbel-Müritz ,Installation einer Photovoltaikanlage auf der Scheune Bollewick,2008,"454,102.00"
Artoss GmbH,"„Verbundvorhaben – Nanostrukturierte Biomaterialien, FuE-
Vorhaben – Mikropartikel und lasttragender Block""",2008,"451,690.00"
"ZV Wasserversorgung u. Abwasserbehandlung 
Rügen","Schmutzwasserspeicherbecken Hauptpumpwerk
Prora (900 m"")",2008,"444,700.00"
"Dr. Horst Reichart VETEC Mess- und 
Veterinärtechnik","Erweiterung einer Betriebsstätte zur Herstellung von Mess- und 
Vetereinärtechnik in 18119 Rostock, Schutower Ringstraße 2, 
kreisfreie Hansestadt Rostock",2008,"441,700.00"
Universität Greifswald Medizinische Fakultät,"1. Community Medicine, 2. Forschungsdepartment Experimentelle 
Therapie im Schwerpunkt Molekulare Medizin",2008,"440,015.00"
IT-Science Center Rügen gGmbH ,"Erweiterung einer Betriebsstätte zur Erbringung von Forschungs- 
und Entwicklungsleistungen für die Wirtschaft in 18581 Putbus, 
Circus 11, Landkreis Rügen",2007,"438,800.00"
MSO GmbH Schönberg ,"Errichtung einer Betriebsstätte zur Herstellung von 
Ausbauelementen aus Stahl und Leichtmetall 
(Ausrüstungskomponenten für den Schiffbau) in 23923 Schönberg, 
Sabower Höhe 6, Landkreis Nordwestmecklenburg",2007,"438,400.00"
Stadt Güstrow,"Schmutzwasserkanalisation Güstrow 16. BA, 3. TA 
Schmutzwasserkanalisation Schwaaner Straße",2007,"435,000.00"
Universität Rostock Medizinische Fakultät,Regenerative Medizin,2008,"427,855.00"
Stadt Plau am See,"Schmutzwasserkanalisation in Plau am See, 13. BA: Ziegeleiweg, 
Klüschenberg und Wittstocker Weg",2007,"424,100.00"
Grabower Süsswaren GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von Süßwaren 
aller Art in 19300 Grabow, Kiebitzweg, Landkreis Ludwigslust",2007,"419,800.00"
Stadt Neustrelitz ,"Mecklenburgischer Seen-Radweg, Abschnitt Neustrelitz 
(Domijüchsee) - Wokuhl",2008,"416,223.00"
Bioenergie Neuhof GmbH & Co. KG ,"Bioenergiedorfprojekt Neuhof - Bau einer BHKW mit 
Nahwärmenetz",2008,"414,500.00"
Wasser- und Abwasser-Verband Ueckermünde,"Schmutzwasserkanalisation Ueckermünde, Lübecker Straße und 
Nebenstraßen der Oststraße",2007,"413,800.00"
Fachhochschule Stralsund ,"1. Reinraumplateau, 2. Windkanal, 3. Dynamometer, 4. Portable 
Thermokamera, 5.3-D Koordinatenmessmaschine, 6. 
laseranwendung, 7. Messplatz, 8. HD Videoreferenzanlage, 9. 
Server, 10. 3-D Scanner, 11.Technische Virtualisierung, 12. PEM, 
13. Biogasversu",2008,"411,735.00"
"Gebr. Faßmer GmbH & Co. KG (Besitzgesell.) 
Faßmer Schiffsservice GmbH & Co. KG 
(Betriebsgesell.)","Erweiterung einer Betriebsstätte zur überwiegenden Herstellung 
von Anlagen für den Schiffsbau in 17248 Rechlin, Ahornstr. 12, 
Landkreis Müritz",2008,"410,900.00"
MA-BA-TECH GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von Teilen und 
Zubehör für Kraftwagen in 19370 Parchim, Ludwigsluster 
Chaussee 5, Landkreis Parchim",2008,"410,800.00"
Peene - Werft GmbH ,"Erweiterung einer Betriebsstätte für den Handels- und 
Marineschiffbau in 17438 Wolgast, Schiffbauerdamm 1, Landkreis 
Ostvorpommern",2007,"406,300.00"
"CiS GmbH Gesellschaft für Computerentwicklung 
und Softwareentwicklung mit beschränkter 
Haftung",“Hafen-GIS – System für RoRo- und Fährumschlagmanagement“,2007,"399,420.00"
Großwäscherei Martens GmbH ,"Erweiterung einer Großwäscherei in 19386 Lübz, Industriestraße 4,
Landkreis Parchim",2008,"397,300.00"
Detlef Schulz ,"Errichtung einer Betriebsstätte des Fremdenverkehrs 
(Ferienanlage mit Wellness) in 18556 Breege, Lobkevitz 24 B, 
Landkreis Rügen",2007,"394,800.00"
DOT GmbH,"„Entwicklung von Implantaten und Implantatoberflächen mit sowohl 
anti-mikrobiellen als auch osteoinduktiven Eigenschaften für die 
Knochen-regeneration “",2008,"393,410.00"
Ernst-Moritz-Arndt Universität Greifswald,"Vorhaben 1 Nano Aquity-UPLC System, Institut für Mikrobiologie, 
Vorhaben 2 HPLC Anlage für Institut für Pharmazie, Vorhaben 3 
MMMS- Magnetic Marker Monitoring Systems für das Institut für 
Pharmazie",2008,"392,500.00"
"Hochschule Wismar, Fakultät 
Ingenieurwissenschaften, Institut für Oberflächen- 
und Dünnschicht-techn","„Verfahrensentwicklung zur Herstellung von styrolbasierten 
Nanocomposites“",2008,"386,575.00"
"Universität Rostock, Medizinische Fakultät, Klinik 
und Polyklinik für Herzchirurgie","„Grundlagenforschung zu Wirkmechanismen und Sicherheit 
kardialer Stamm-zelltherapie“",2008,"382,000.00"
"PLU Papier-Lager- und Umschlagsgesellschaft 
mbH","Erweiterung einer Betriebsstätte zur Erbringung von logistischen 
Dienstleistungen (Papierumschlag) in 18147 Rostock, Am 
Skandinavienkai 8, kreisfreie Hansestadt Rostock",2007,"377,500.00"
"WISTRA GmbH Transport-Sicherheit-Systeme 
(Mieter) Wistra Handelsgesell. mbH (Vermieter)","Erweiterung einer Betriebsstätte zur Herstellung von 
Sicherheitssystemen für die Transportwirtschaft in 23923 
Selmsdorf, An der Trave 11, Landkreis Nordwestmecklenburg",2008,"374,400.00"
Wärmeversorgung Grevesmühlen GmbH ,"Biogasanlage mit KWK und Fernwärmenetzerweiterung und -
anbindung",2008,"371,600.00"
"Ricardo Joerges Hotel-Restaurant-Cafe ""Haffhus""","Erweiterung einer Betriebssta_tte des Fremdenverkehrs (Hotel) in 17373 Ueckermu_nde, Dorfstraße 35, Landkreis Uecker-Randow",2007,"360,000.00"
"MB-RENT - Truck & Trailer/ Service & Logistik 
GmbH","Erweiterung einer Betriebsstätte zur Herstellung von 
Fahrzeugaufbauten für Nutzfahrzeuge durch Verlagerung der 
Betriebsstätte innerhalb der Gemeinde von 17036 
Neubrandenburg, Gneisstraße 9 nach 17033 
Neubrandenburg/Weitin, Carl-Scheele-Straße,",2008,"359,800.00"
FIM Friedland Industrial Minerals GmbH,"Erweiterung einer Betriebsstätte zur überwiegenden Herstellung 
von Mineralerzeugnissen in 17098 Friedland, Schwarzer Weg, 
Landkreis Mecklenburg-Strelitz",2007,"354,000.00"
Beck Kabel- und Gehäusetechnik GmbH ,"Erweiterung einer Betriebsstätte zur überwiegenden 
Konfeektionierung und Montage von Kabeln und Batterien in 17121
Rustow, Bärenfelsallee 20/23 Landkreis Demmin",2007,"348,900.00"
ZV Wasserver-/Abwasserentsorgung Strasburg,Schmutzwasserkanalisation in der Birkensiedlung in Strasburg,2007,"348,700.00"
Pandino Spielwelt GmbH ,"Errichtung einer Betriebsstätte des Fremdenverkehrs 
(Indoor/Qutdoor - Spielplatz) in 18211 Admannshagen-
Bargeshagen, Admannshäger Damm 19, Landkreis Bad Doberan",2007,"347,900.00"
Schoeller Cap Systems GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Verschlusskappen in 19061 Schwerin, Werkstraße 122, kreisfreie 
Stadt",2007,"347,500.00"
"Berschneider GmbH Fleischspezialitäten-
Produktion","Erweiterung einer Betriebsstätte zur Herstellung und zum Vertrieb 
von Fleischwarenspezialitäten aller Art in 19246 Valluhn, Am 
Heisterbusch 12, Landkreis Ludwigslust",2008,"341,500.00"
"Liane Hein und Norbert Hein in Hotel - Restaurant
""Badehaus"" GbR","Erweiterung einer Betriebsstätte des Fremdenverkehrs (Hotel-
Restuarant ""Badehaus"") in 17033 Neubrandenburg, Parkstraße 3-
4, kreisfreie Stadt Neubrandenburg",2008,"341,100.00"
Axel Kutter ,"Erweiterung einer Betriebsstätte des Metallbaus und 
Edelstahlverarbeitung in 17489 Greifswald, Am Koppelberg 18, 
kreisfreie Stadt Greifswald",2008,"328,800.00"
BASIS Computer-  Systemintegration GmbH,"„Modellgestützte Intelligente Interaktionstechniken für ubiquitäre 
Anwendungen“",2008,"326,820.00"
GESMEX GmbH ,"Errichtung einer Betriebsstätte zur Herstellung von 
Wärmeübertragungen in 19061 Schwerin, Werkstraße 226, 
kreisfreie Landeshauptstadt",2008,"325,500.00"
Glashäger Brunnen GmbH ,"Diversifizierung der Produktion einer Betriebsstätte in neue, 
zusätzliche  Produkte zur Herstellung von Erfrischungsgetränken 
(Mineralbrunnen) in 18209 Bad Doberan, Chaussee 1, Landkreis 
Bad Doberan",2008,"325,000.00"
OMW Optische Messtechnik GmbH,“Snapshot Imaging Spectrometer“,2007,"324,210.00"
SGS Geniesser Service GmbH & Co. KG ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Lebensmittelfertigungsprodukten in 18299 Laage-Kronskamp, Am 
Wiesengrund 3, Landkreis Güstrow",2008,"320,300.00"
"Gutshaus Am Schloß Klink GmbH & Co. Betriebs 
KG","Erwerb einer von Stilllegung bedrohten Betriebsstätte des 
Fremdenverkehrs (Hotel und Restaurant) in 17192 Klink, Schulstr. 
8, Landkreis Müritz",2008,"320,000.00"
Peter Alsleben ,"Errichtung einer Betriebsstätte des Fremdenverkehrs (Pension) in 
23968 Zierow, Wischer Str. 8, Landkreis Nordwestmecklenburg",2008,"320,000.00"
"Zweckverband ""Kühlung"" Wasserversorgung und 
Abwasserbeseitigung","Abwassertechnische Erschließung des ostseebades 
Kühlungsborn, BA Cubanzestraße",2007,"320,000.00"
Asinteg GmbH ,"Errichtung einer Betriebsstätte zur Softwareentwicklung und 
Systemintegration in 19061 Schwerin, Hagenower Str. 73, 
kreisfreie Stadt Schwerin",2007,"313,700.00"
"Universität Rostock Mathematisch-
Naturwissenschaftliche Fakultät, Institut für 
Biowissenschaften, Le","„Mikrofluidik, innere Sensorik und Strukturentwurf für ein 3D-
Zellkultursystem (FLUXEL)“",2008,"312,000.00"
"Henry Jackwitz & Edward Klemke in GbR ""Der 
Störtebeker""","Errichtung einer Betriebsstätte des Fremdenverkehrs (Pension) in 
18347 Ostseebad Dierhagen, Am Plateau 9, Landkreis 
Nordvorpommern",2007,"302,500.00"
MBA Melms & Brückner Anlagenbau GmbH,"Erweiterung einer Betriebsstätte zur Herstellung von Anlagen der 
Wasser- und Abwassertechnik in 17036 Neubrandenburg, 
Quarzstraße 5 und Warliner Straße 19, kreisfreie Stadt 
Neubrandenburg",2007,"299,300.00"
"Kabel + Satellit Bergen Kommunikationstechnik 
GmbH","Erweiterung einer Betriebsstätte zur Bereitstellung von 
Informations- und Kommunikationsdienstleistungen in 18528 
Bergen, Tilzower Weg 32, Landkreis Rügen",2008,"297,400.00"
Ostsee-Welten GmbH ,"Errichtung einer Betriebsstätte zur Erbringung von touristischen 
Dienstleistungen (mulimediales Bildungs- und 
Informationszentrum) in 18119 Rostock, Am Leuchtturm 15, 
kreisfreie Hansestadt Rostock",2008,"294,100.00"
Dr. Bettina Klein ,"Errichtung einer Betriebsstätte des Fremdenverkehrs 
(Ferienwohnungen) in 18317 Saal, OT Hessenburg, Dorfplatz 2, 
Landkreis Nordvorpommern (Tourismusentwicklungsraum)",2007,"291,700.00"
Henry Grützmann W-S-C Zirkow,"Errichtung einer Bertriebsstätte des Fremdenverkehrs 
(Wassersportzentrum mit Wasserskiseilbahn) in 18528 Zirkow, 
Kapellenberg 1, Landkreis Rügen",2008,"285,500.00"
"FNG Funk- und Feinmechanik Neustadt-Glewe 
GmbH & Co. KG","Erwerb einer Betriebsstätte zur Erbringung von Dienstleistungen 
im Industrieservice und Montage von funktechnischen 
Einrichtungen in 17036 Neubrandenburg, Kruseshofer Str. 11, 
kreisfreie Stadt",2008,"284,200.00"
Schlie Hydraulik-Service GmbH ,"Erweiterung einer Betriebsstätte zur Erbringung von 
Dienstleistungen auf dem Gebiet der hydraulischen Antriebs- und 
Regelungstechnik in 18146 Rostock, Am Liepengraben 7a, 
kreisfreie Hansestadt Rostock",2008,"278,700.00"
"Zweckverband Grevesmühlen Wasserversorgung 
und Abwasserbeseitigung","Mobiler Tiefbau-Assistent mit rechtsverbindlicher und sicherer 
Daten-Aggregation für den Fernzugriff auf ad-hoc integrierbare 
leitungsnetzbezogene GeoGavernment-Services (TRUFFLE)",2008,"275,135.00"
"Die Rostocker Wurst- und Schinkenspezialitäten 
GmbH","Erweiterung einer Betriebsstätte zur Herstellung von 
Fleischereierzeugnissen in 18147 Rostock, Erlensumpfstraße 1, 
kreisfreie Hansestadt Rostock",2008,"273,600.00"
CSP Service und Warenhandels GmbH ,"Errichtung einer Betriebsstätte zur Erbringung von logistischen 
Dienstleistungen in 19258 Gallin, neu Galliner Ring 22, Landkreis 
Ludwigslust",2008,"271,200.00"
"AMC Pancke AG Allied Methods of 
Communication","Erweiterung einer Betriebsstätte zur Veredelung von Papieren und 
Kunststoffen in 19230 Hagenow, Robert-Bosch-Straße 1, 
Landkreis Ludwigslust",2008,"266,700.00"
"Stadt Parchim, Abwasserentsorgungsbetrieb 
Parchim","Schmutzwasserkanalisation in Parchim, Moltkeplatz/Am Kreuztor, 
Vogelsang und Ludwigsluster Straße",2008,"265,600.00"
"Land Mecklenburg-Vorpommern vetreten durch 
das Landesamt Rostock",Kosten für Leistungen von Architekten und Ingenieuren,2008,"262,324.04"
"ZV Wasserversorgung u. Abwasserbehandlung 
Rügen","Schmutzwasserkanalisation Binz
- Heinrich-Heine-Straße, Dollahner Straße,
  Zeppelinstraße, Hans-Beimler-Straße",2007,"254,800.00"
