Asse,Obiettivo specifico,Beneficiario,Operazione,Anno,Importo impegnato,Importo pagato
IV, I," ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO", TECNICO DELLA PROGRAMMAZIONE E DEL CONTROLLO DELLE RISORSE DELLE PMI.,2007, 44.144, 0
IV, I," ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO"," TECNICO DELL'ANALISI DEI COSTI, DEL REPORTING E DEL CONTROLLO BUDGETARIO",2007, 48.417, 0
IV, I, ISTITUTO FIGLIE DEL SACRO CUORE DI GESU'," GRAFICA, SEGNO E COLORE",2007, 19.694, 0
IV, I," ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO", GESTIONE AZIENDALE E NUOVE TECNOLOGIE DELL'INFORMAZIONE,2007, 45.790, 0
IV, I," ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI ‚""LIVIA BATTISTI‚""", ADDETTO ALLE OPERAZIONI DI FRONT E BACK OFFICE NELL'AGENZIA DI ASSICURAZIONI - 5 C AZ,2007, 53.313, 0
IV, I, ISTITUTO FIGLIE DEL SACRO CUORE DI GESU', PUBBLICITA' E WEB,2007, 22.233, 0
IV, I, ISTITUTO FIGLIE DEL SACRO CUORE DI GESU', GRAFICA E PUBBLICITA',2007, 22.391, 0
IV, I, ISTITUTO FIGLIE DEL SACRO CUORE DI GESU', GRAFICA DIGITALE,2007, 29.971, 0
IV, I," ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO", L'OPERATORE SOCIALE IN UNA COMUNITA' RESIDENZIALE,2007, 45.675, 0
IV, I," ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO", OPEN SOURCE E PRIVACY: L'UTILIZZO DEI CMS IN AZIENDA,2007, 48.387, 0
IV, I," ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO", OPEN SOURCE E COMUNICAZIONE INTEGRATA:AZIENDA E CLIENTE,2007, 45.762, 0
IV, I," ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI ‚""LIVIA BATTISTI‚""", DALL'IDEA ALLA PASSERELLA: STUDIO E REALIZZAZIONE DI UNA SFILATA DI MODA,2007, 56.959, 0
IV, I, OXFORD CIVEZZANO Società cooperativa, Overdenture su impianti osteointegrati,2007, 24.165, 0
IV, I," ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI ‚""LIVIA BATTISTI‚""", TURISMO E TEMPO LIBERO,2007, 38.262, 0
IV, I," ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO", INNOVAZIONE E QUALITA' A TAVOLA,2007, 52.254, 0
IV, I," ISTITUTO DI ISTRUZIONE ""MARIE CURIE""", Esperto nei settori finanziario e previdenziale con competenze informatiche,2007, 44.112, 0
IV, I," ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""", Operatore del comparto turistico e della ristorazione.,2007, 52.157, 0
IV, I," ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""", Comunicazione e innovazione: le nuove sfide del turismo di qualità,2007, 48.559, 0
IV, I," ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI"""," Le aziende non profit: caratteristiche, problemi di gestione e prospettive di sviluppo",2007, 49.250, 0
IV, I," ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""", La PMI commerciale: la gestione del magazzino e delle vendite e i servizi connessi,2007, 49.250, 0
IV, I," ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""", La PMI turistica: gli aspetti tecnico-gestionali e il ruolo dell'imprenditorialità femminile,2007, 49.250, 0
IV, I," ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI"""," La ristorazione tra arte, cultura e sapori",2007, 46.478, 0
IV, I," ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""", L'accoglienza come risorsa culturale dell'azienda turistica,2007, 49.013, 0
IV, I," ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""", La nuova ristorazione e la sua gestione,2007, 46.872, 0
IV, I," ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI ‚""LIVIA BATTISTI‚""", SCUOLA E MUSEO: BUONE PRATICHE PER LA PROMOZIONE DEL TURISMO CULTURALE E LA VALORIZZAZIONE DEL TERRI...,2007, 49.471, 0
IV, I," ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""", La ristorazione: nuove tendenze organizzative,2007, 48.756, 0
IV, I," ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""", Tecnico della gestione aziendale dell'impresa artigiana,2007, 48.608, 0
IV, I," ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""", Il ruolo della gestione delle risorse umane nello sviluppo strategico delle imprese,2007, 51.053, 0
IV, I, ISTITUTO FIGLIE DEL SACRO CUORE DI GESU', TECNICHE VIDEOGRAFICHE E ANALISI DEI COSTI,2007, 28.422, 0
IV, I," ISTITUTO DI ISTRUZIONE ""MARIE CURIE""", Esperto in gestione e contabilità aziendale attraverso le tecnologie informatiche,2007, 44.417, 0
IV, I," ISTITUTO DI ISTRUZIONE ""MARIE CURIE""", Formazione di un esperto in incoming capace di ideare e realizzare pacchetti turistici dinamici.,2007, 43.823, 0
IV, I, ISTITUTO DI ISTRUZIONE La rosa bianca - weisse Rose," Esperto nella promozione di attività sportive, ricreative, culturali e di cura del corpo nell'ambito...",2007, 50.695, 0
IV, I, ISTITUTO DI ISTRUZIONE La rosa bianca - weisse Rose, Esperto nella mediazione della domanda turistica in funzione della promozione dei patrimoni ambienta...,2007, 54.088, 0
IV, I, ISTITUTO DI ISTRUZIONE La rosa bianca - weisse Rose, Operatore della comunicazione turistica (cl. V sez. B IPSCT),2007, 61.150, 0
IV, I," ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI ‚""LIVIA BATTISTI‚""", LO SVILUPPO DELLE COMPETENZE PROGETTUALI - 4 A AZ,2007, 34.414, 0
IV, I," ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO", L'ANIMATORE NEI CENTRI PER MINORI IN DIFFICOLTA',2007, 41.807, 0
IV, I," ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI ‚""LIVIA BATTISTI‚""", OPERATORE IN RICERCHE DI MERCATO E MARKETING - 4 B AZ,2007, 33.995, 0
IV, I," ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI ‚""LIVIA BATTISTI‚""", LAVORARE COME ANIMATORE TURISTICO - 4 B TUR,2007, 40.098, 0
III, G, PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO, Assegnazione e finanziamento Indennità Integrativa di Conciliazione,2007, 31.395, 31.395
VI, N, PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO, Autorizzazione all'indizione di una gara per il servizio di supporto al Comitato di Sorveglianza pro...,2007, 60.000, 0
VI, N, PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO, Approvazione di un programma per l'assunzione di spese in economia relativo a piccoli interventi di ...,2007, 30.000, 29.941
III, G, PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO, Assegnazione e finanziamento Indennità Integrativa di Conciliazione,2007, 5.700, 5.700
VI, N, PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO," Autorizzazione all'assunzione di spesa per la corresponsione dell'assegno compensativo, per l'anno 2...",2007, 17.346, 17.346
VI, N, PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO, Approvazione di un programma per l'assunzione di spese in economia per l'acquisizione di servizi e s...,2007, 72.000, 66.592
III, G, PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO, Assegnazione e finanziamento Indennità Integrativa di Conciliazione,2007, 7.188, 7.188
III, G, PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO, Assegnazione e finanziamento Indennità Integrativa di Conciliazione,2007, 57.910, 52.870
IV, I, PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO," Finanziamento dello strumento ""BUONI FORMATIVI""",2007, 1.500.000, 0
IV, H, PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO," Autorizzazione all'indizione della gara per l'appalto dell'affidamento del servizio di """"G...",2007, 2.700.000, 0
IV, I, PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO," Autorizzazione all'indizione della gara per l'appalto dell'affidamento del servizio di """"F...",2007, 1.600.000, 0
III, G, PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO, Assegnazione e finanziamento Indennità Integrativa di Conciliazione,2007, 1.770, 0
V, M, PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO," Autorizzazione all'indizione della gara per l'appalto dell'affidamento del servizio """"ASSI...",2007, 1.700.000, 0
VI, N, PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO," Autorizzazione all'indizione di una gara per l'appalto dell'affidamento del servizio ""ASSISTENZ...",2007, 1.800.000, 0
IV, H, PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO," Proroga del contratto relativo alla gestione dei ""SERVIZI TERRITORIALI DI INFORMAZIONE E ORIENT...",2007, 350.000, 350.000
III, G, PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO, Assegnazione e finanziamento Indennità Integrativa di Conciliazione,2007, 17.661, 17.661
VI, N, PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO, Approvazione di un programma di spese in economia per iniziative a cofinanziamento FSE riconducibili...,2007, 27.998, 27.998
III, G, PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO, Assegnazione e finanziamento Indennità Integrativa di Conciliazione,2007, 952, 952
III, G, PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO, Assegnazione e finanziamento Indennità Integrativa di Conciliazione,2007, 6.536, 6.536
VI, N, PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO," Approvazione di una convenzione fra la PAT e l'associazione ""Tecnostruttura delle Regioni per i...",2007, 80.290, 80.290
VI, N, PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO," Autorizzazione all'indizione della gara per l'appalto del Servizio di ""MANUTENZIONE E ASSISTENZ...",2007, 1.800.000, 0
III, G, PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO, Assegnazione e finanziamento Indennità Integrativa di Conciliazione,2007, 5.515, 5.515
I, A, S.I.A.D. SOCIET?Ä COOPERATIVA, Siad: la formazione continua quale fondamento della politica aziendale,2008, 49.173, 0
I, A, FORMAZIONE-LAVORO SOC. CONS. A R.L., Valutare la formazione,2008, 52.486, 0
I, A, GPI S.p.A., Formazione continua in GPI spa: innovazione e sviluppo per affrontare il cambiamento organizzativo e...,2008, 39.619, 0
I, A, MANICA S.P.A.," APPLICARE UN SISTEMA DI GESTIONE AMBIENTALE EMAS II, ISO 14001, PER IL MIGLIORAMENTO DELLE PERFORMAN...",2008, 17.776, 0
I, A, LA CASA S.C.S., APPRENDERE PER CRESCERE ED INNOVARE. UN PERCORSO DI SVILUPPO COMPETENZE ALL'INTERNO DEL SERVIZIO ASS...,2008, 71.611, 0
I, A, ATI: Essedi e Imprese Consorzio DTTN, Sostenere i processi di innovazione sul territorio attraverso la gestione integrata di progetti :nuo...,2008, 24.776, 0
I, A, FORMAZIONE-LAVORO SOC. CONS. A R.L., Il marketing territoriale: strategie e tattiche di successo,2008, 44.989, 0
I, A, TASSULLO MATERIALI S.r.l., Lo sviluppo delle competenze professionali per l'innovazione,2008, 65.118, 0
I, A, CASSA RURALE DI CALDONAZZO BANCA DI CREDITO COOPERATIVO, La formazione continua nella banca di credito cooperativo: l'ottimizzazione del rapporto col territo...,2008, 39.145, 0
I, A, Progetto 92 società cooperativa sociale, Lo sviluppo delle competenze dell'educatore in risposta ai bisogni emergenti dei minori,2008, 71.750, 0
I, A, FORMAZIONE-LAVORO SOC. CONS. A R.L., Strumenti avanzati per una gestione manageriale dell'impresa,2008, 25.296, 0
I, A, FORMAZIONE-LAVORO SOC. CONS. A R.L., Sviluppo di competenze enogastronomiche,2008, 50.376, 0
I, A, ASSOCIAZIONE DELLE SCUOLE EQUIPARATE DELL'INFANZIA - FEDERAZIONE PROVINCIALE DELLE SCUOLE MATERNE, PE.R.S.O.N.A.,2008, 122.947, 0
I, A, NUOVA SAIMPA S.r.l.," PROGRAMMA DI AGGIORNAMENTO PER IL PERSONALE DI NUOVA SAIMPA SPA, IN AMBITO DI INNOVAZIONE TECNOLOGIC...",2008, 26.437, 0
I, A, FORMAZIONE-LAVORO SOC. CONS. A R.L., Gestire l'azienda: dalle competenze tecnico professionali alla valorizzazione delle risorse umane,2008, 73.246, 0
I, A, FORMAZIONE-LAVORO SOC. CONS. A R.L., Sviluppo di competenze informatiche per gli operatori delle famiglie cooperative della Val di Fiemme...,2008, 29.129, 0
I, A, Hammerfest srl, Comunicare il punto vendita.Lo spazio commerciale come teatro di esperienze e di emozioni.,2008, 11.034, 0
I, A, FORMAZIONE-LAVORO SOC. CONS. A R.L., Sviluppo di competenze comunicative e marketing per il personale di una piccola impresa,2008, 17.828, 0
I, A, S.A.S. LOR DI DE CHIUSOLE ALBERTO CORNELIO & CO, HOTEL SOLE: POTENZIAMENTO DELLE CAPACITA' GESTIONALI,2008, 25.056, 0
I, A, FORMAZIONE-LAVORO SOC. CONS. A R.L., Il processo di selezione del personale di assistenza,2008, 9.410, 0
I, A, FEDERAZIONE TRENTINA DELLE PRO LOCO E LORO CONSORZI, Sviluppo delle competenze degli operatori delle Pro Loco e dei loro consorzi in un'ottica di miglior...,2008, 27.863, 0
I, A, FEDERAZIONE TRENTINA DELLE PRO LOCO E LORO CONSORZI, Piano per la comunicazione della Federazione Trentina Pro Loco e Consorzi,2008, 24.248, 0
I, A, DORIGONI S.P.A., IL MIGLIORAMENTO DELLA CAPACITA' DI LAVORO IN TEAM IN DORIGONI SPA,2008, 22.454, 0
I, A, CLUSTER, DAL DOCENTE AL FORMATORE: PERCORSO DI SVILUPPO DELLE COMPETENZE,2008, 25.860, 0
I, A, FORMAZIONE-LAVORO SOC. CONS. A R.L., Information Technology per gli over 50,2008, 25.121, 0
I, A, ACTIVA SPA, L'innovazione organizzativa e gestionale in Activa Spa,2008, 14.438, 0
I, A, SAV Scorte Agrarie S.r.l., Rilancio della strategia commerciale e innovazione organizzativa,2008, 45.407, 0
I, A, FORMAZIONE-LAVORO SOC. CONS. A R.L., Interpretazione e responsabilità di un nuovo ruolo: crescere in azienda,2008, 36.234, 0
I, A, Interline srl, Open Source Web 2.0,2008, 28.835, 0
I, A, EMBI SERVICES SNC di Ferrari M. e Pollini B., Lo sviluppo delle competenze trasversali e degli atteggiamenti autoimprenditivi in Orikata organizza...,2008, 15.730, 0
I, A, Cash Money Card SRL, verso una crescita del know how: esperienze e tecniche necessarie per la gestione d'impresa e lo svi...,2008, 30.768, 0
I, A, FORMAZIONE-LAVORO SOC. CONS. A R.L., Cassa Rurale e Comunità della Bassa Valsugana: per un equilibrio sostenibile tra servizio alla colle...,2008, 64.639, 0
I, A, FORMAZIONE-LAVORO SOC. CONS. A R.L., Comunicazione integrata e qualificazione del servizio socio-educativo,2008, 54.117, 0
I, A, edigrafica snc, Newspower: formazione continua per competere,2008, 32.555, 0
I, A, ASSOFORM TRENTINA, Coordinatori CFP,2008, 28.590, 0
I, A, SELFPRECAST S.R.L., GESTIONE INTEGRATA DEI PROCESSI AZIENDALI IN SELFPRECAST SRL,2008, 23.805, 0
I, A, CTE SPA, Formazione personale e crescita aziendale: percorsi di management e aggiornamento professionale in C...,2008, 27.799, 0
I, A, C.S.4. SOCIET?Ä COOPERATIVA SOCIALE O.N.L.U.S., L'educatore tra i confini istituzionali e i confini di pratica,2008, 12.842, 0
I, A, SOL - SERVICE ON LINE SRL, INNOVAZIONE DEI PROCESSI ORGANIZZATIVI IN SOL SRL,2008, 34.190, 0
I, A, SCREEN LINE S.r.l.," AGGIORNAMENTO E SVILUPPO DELLE COMPETENZE COMMERCIALI, LINGUISTICHE ED AMMINISTRATIVE",2008, 20.090, 0
I, A, STUDIO TI ESSE A. S.R.L., SOFT & HARD SKILLS PER TIESSEA SRL,2008, 25.096, 0
I, A, Arcobaleno società cooperativa sociale, Qualificazione d'eccellenza per l'assistenza domiciliare trentina,2008, 67.152, 0
I, A, TRENTINO CIPA.AT SERVIZI S.R.L., NUOVE OPPORTUNITA' IMPRENDITORIALI NEL TURISMO RURALE PER LO SVILUPPO SOSTENIBILE DELLA VALLE DEI MO...,2008, 28.094, 0
I, A, SATEF SVILUPPO E ANALISI DI TECNOLOGIE FORMATIVE SRL, Project management: una chiave di adattabilità,2008, 35.699, 0
I, A, CENTRO FORMAZIONE PROFESSIONALE - UNIVERSITA' POPOLARE TRENTINA, Sviluppo delle risorse umane della piccola distribuzione e dinamica competitive,2008, 65.926, 0
I, A, ASSOCIAZIONE ARTIGIANI E PICCOLE IMPRESE DELLA PROVINCIA DI TRENTO, IL MOBILE ESCLUSIVO. STRATEGIE DI VALORIZZAZIONE,2008, 57.269, 0
I, A," ""L'ANCORA""COOPERATIVA DI SOLIDARIET?Ä SOCIALE"," La conoscenza e il cambiamento. Gestire persone, organizzazioni e reti",2008, 20.079, 0
I, A, ENFAP TRENTINO, Nuove prospettive nello sviluppo software,2008, 25.255, 0
I, A," FORMAZIONE ASSINDUSTRIA TRENTO SOC. CONS. A R. L. IN SIGLA ""FORM.A.T. SOC. CONS. A R. L.""", Gestione innovativa del Business & Web 2.0,2008, 24.071, 0
I, A," FORMAZIONE ASSINDUSTRIA TRENTO SOC. CONS. A R. L. IN SIGLA ""FORM.A.T. SOC. CONS. A R. L.""", Tecniche innovative per gestire comunicazioni e relazioni aziendali efficaci,2008, 12.734, 0
I, A," FORMAZIONE ASSINDUSTRIA TRENTO SOC. CONS. A R. L. IN SIGLA ""FORM.A.T. SOC. CONS. A R. L.""", PROJECT MANAGEMENT - Gestione per progetti nelle imprese,2008, 27.472, 0
I, A," FORMAZIONE ASSINDUSTRIA TRENTO SOC. CONS. A R. L. IN SIGLA ""FORM.A.T. SOC. CONS. A R. L."""," Integrazione ""LEAN"" nei processi logistici",2008, 30.838, 0
I, A, SATEF SVILUPPO E ANALISI DI TECNOLOGIE FORMATIVE SRL, LIBERARE E ATTIVARE L'ANIMA DEL TERRITORIO,2008, 31.977, 0
I, A," FORMAZIONE ASSINDUSTRIA TRENTO SOC. CONS. A R. L. IN SIGLA ""FORM.A.T. SOC. CONS. A R. L.""", Analisi e miglioramento dei processi di gestione dell'innovazione,2008, 28.392, 0
I, A, IKANOS SRL, Il controllo strategico per il governo del rischio d'impresa,2008, 55.727, 0
I, A, FORMAZIONE S.P.A. - SOCIET?Ä CONSORTILE, Facilitatore alla comunicazione e integrazione scolastica,2008, 40.074, 0
I, A, FORMAZIONE S.P.A. - SOCIET?Ä CONSORTILE, Interprete in L.I.S.,2008, 40.074, 0
I, A, SISTEMA IMPRESA S.R.L., AUTOCAD 3D,2008, 70.140, 0
I, A, SATEF SVILUPPO E ANALISI DI TECNOLOGIE FORMATIVE SRL, Innovare per competere: pensare e realizzare l'innovazione nella piccola impresa,2008, 30.645, 0
I, A, SISTEMA IMPRESA S.R.L., GESTIONE DELLE RISORSE UMANE NEI CONTESTI MULTICULTURALI,2008, 41.088, 0
I, A, SISTEMA IMPRESA S.R.L., RIQUALIFICAZIONE E AGGIORNAMENTO PER GLI OPERATORI DELL'ARTE ROSSA,2008, 65.068, 0
I, A, SISTEMA IMPRESA S.R.L., AGGIORNAMENTO TECNICO E SVILUPPO MANAGERIALE PER I PROFESSIONISTI DELL'ARTE BIANCA,2008, 57.207, 0
I, A, ACCADEMIA D'IMPRESA," TERRA: TErritorio, Risorse, Ruoli in Azione",2008, 39.947, 0
I, A, FORMAZIONE-LAVORO SOC. CONS. A R.L., Il middle manager della cooperazione: strumenti e tecniche per pensare e dirigere strategicamente la...,2008, 43.020, 0
I, A, FORMAZIONE-LAVORO SOC. CONS. A R.L.," Suoni, musiche e movimento per la trasversalità dei saperi: le nuove competenze specialistiche dell'...",2008, 47.912, 0
I, A, FORMA EUROPA S.R.L., Altopiano di Brentonico: qualificare l'accoglienza turistica,2008, 39.444, 0
I, A, FORMA EUROPA S.R.L.," PT Valli del Leno: ""artigiani digitali""",2008, 40.919, 0
I, A, ACCADEMIA D'IMPRESA, Risorse umane e strategie della piccola e media distribuzione del tipico,2008, 39.794, 0
I, A, ACCADEMIA D'IMPRESA, RICONOSCERE. Il valore della comunicazione nella cultura dell'ospitalità,2008, 37.975, 0
I, A, SATEF SVILUPPO E ANALISI DI TECNOLOGIE FORMATIVE SRL," NEW BUSINESS, GOOD BUSINESS",2008, 28.500, 0
I, A, ASSOCIAZIONE ARTIGIANI E PICCOLE IMPRESE DELLA PROVINCIA DI TRENTO, EXECUTIVE MASTER PER L'IMPRENDITORE ARTIGIANO: SVILUPPO DELL'IMPRENDITORIALITA',2008, 69.966, 0
I, A, ASSOCIAZIONE ARTIGIANI E PICCOLE IMPRESE DELLA PROVINCIA DI TRENTO, EXECUTIVE MASTER PER L'IMPRENDITORE ARTIGIANO: SVILUPPO DELLA MANAGERIALITA',2008, 66.524, 0
I, A, ASSOCIAZIONE ARTIGIANI E PICCOLE IMPRESE DELLA PROVINCIA DI TRENTO, LA SUCCESSIONE NELL'IMPRESA FAMILIARE ARTIGIANA: I GIOVANI SI PREPARANO A DIVENTARE IMPRENDITORI,2008, 58.636, 0
I, A, ATI: ESSEDI - DREAM, Innovazione di processo e di prodotto nella filiera dell'edilizia: nuove competenze per la progettaz...,2008, 43.069, 0
I, A, ASSOCIAZIONE ARTIGIANI E PICCOLE IMPRESE DELLA PROVINCIA DI TRENTO, SPECIALISTA NELL'USO EFFICIENTE DELL'ENERGIA,2008, 72.508, 0
I, A, ASSOCIAZIONE ARTIGIANI E PICCOLE IMPRESE DELLA PROVINCIA DI TRENTO, RETI D'IMPRESA NEL MONDO ARTIGIANO,2008, 46.611, 0
I, A, ASSOCIAZIONE ARTIGIANI E PICCOLE IMPRESE DELLA PROVINCIA DI TRENTO, NEOIMPRESA ARTIGIANA: UN PERCORSO DI SOSTEGNO ALLO SVILUPPO,2008, 61.156, 0
, A, ASSOCIAZIONE ARTIGIANI E PICCOLE IMPRESE DELLA PROVINCIA DI TRENTO, MECCANICA E RICERCA. SVILUPPO DI PROGETTI INNOVATIVI,2008, 53.049, 0
I, A, DELTA SERVIZI S.R.L., Aggiornamento professionale sulle nuove tecnologie di sviluppo software,2008, 27.840, 0
I, A, FORMAZIONE E SVILUPPO S.R.L., MIGLIORA L'EFFICIENZA GESTIONALE: STRUMENTI PER IL CONTROLLO ECONOMICO-FINANZIARIO D'IMPRESA,2008, 38.484, 0
I, A, FORMAZIONE E SVILUPPO S.R.L., GESTIONE IMPRENDITORIALE E MANAGERIALE DELLA PICCOLA E MEDIA IMPRESA: UN KIT DI SOLUZIONI EFFICACI P...,2008, 47.080, 0
I, A, ISTITUTO REGIONALE DI STUDI E RICERCA SOCIALE, LA CONTAMINAZIONE NARRATIVA E TEATRALE COME STRUMENTO DI INNOVAZIONE MUSEALE,2008, 65.974, 0
I, A, CENTRO FORMAZIONE PROFESSIONALE G. VERONESI, Capoprogetto,2008, 52.620, 0
I, A, FORMAZIONE E SVILUPPO S.R.L., GESTIONE DEL RICAMBIO GENERAZIONALE: STRUMENTI PER MIGLIORARE L'EFFICIENZA ORGANIZZATIVA D'IMPRESA,2008, 37.749, 0
I, A, CENTRO FORMAZIONE PROFESSIONALE - UNIVERSITA' POPOLARE TRENTINA," Imprenditorialità, cultura e territorio: per uno sviluppo sostenibile nelle Maddalene e nella Predai...",2008, 65.136, 0
I, A, CENTRO FORMAZIONE PROFESSIONALE - UNIVERSITA' POPOLARE TRENTINA," Sviluppo e innovazione della realtà sociale e imprenditoriale della Valsugana, della Valle dei Moche...",2008, 62.692, 0
I, A, SATEF SVILUPPO E ANALISI DI TECNOLOGIE FORMATIVE SRL," I comportamenti di Sicurezza: come promuoverli, esigerli, ottenerli",2008, 25.884, 0
I, A, A.T.O.S. SERVIZI Srl," BANDA LARGA, WIRLESS E RETI DI DATI",2008, 53.940, 0
I, A, ESSEDI STRATEGIE D'IMPRESA S.P.A., Essere manager nell'innovazione: conoscere s?© per gestire gli altri,2008, 38.547, 0
I, A, CENTRO FORMAZIONE PROFESSIONALE - UNIVERSITA' POPOLARE TRENTINA, Sviluppo e innovazione della realtà sociale e imprenditoriale del Baldo Garda e delle Valli del Leno,2008, 63.500, 0
I, A, SATEF SVILUPPO E ANALISI DI TECNOLOGIE FORMATIVE SRL, Rosso d'Isera,2008, 21.160, 0
I, A, FORMAZIONE-LAVORO SOC. CONS. A R.L., Gestione delle risorse umane nella piccola e media distribuzione cooperativa: produttività e svilupp...,2008, 27.743, 0
I, A, Simmetrie srl, C.S.I. - Conduzione Strategica d'Impresa,2008, 36.178, 0
II, E, FIDIA S.R.L., Percorso per l'acquisizione e la certificazione di competenze informatiche di base per cittadini di ...,2008, 37.864, 0
II, E, FIDIA S.R.L., Apprendimento e occupabilità: lo sviluppo di competenze trasversali per lavoratori over 50,2008, 23.474, 0
II, E, FIDIA S.R.L., La valorizzazione del lavoratore adulto nel contesto organizzativo,2008, 35.701, 0
II, E, FORMAZIONE E SVILUPPO S.R.L., BIT E BYTE NON BASTANO: IMPARA AD USARE IL PC IN MODO PROFESSIONALE,2008, 47.374, 0
II, E, FORMAZIONE E SVILUPPO S.R.L., E-CITIZEN: DIVENTA UN CITTADINO EUROPEO DELL'ERA DIGITALE,2008, 22.319, 0
II, E, FORMAZIONE E SVILUPPO S.R.L., RIATTIVA-MENTI: VALORIZZA E MIGLIORA I TUOI SAPERI E LE TUE CAPACITA',2008, 33.797, 0
II, E, FORMAZIONE E SVILUPPO S.R.L., EMPOWERMENT: STRUMENTI PER VALORIZZARE E MIGLIORARE IL TUO POTENZIALE UMANO E LAVORATIVO,2008, 28.538, 0
II, E, SIMKI S.R.L., COMPETENZE INFORMATICHE PER L'OCCUPABILITA' E LA CITTADINANZA ATTIVA,2008, 41.548, 0
II, E, DBF INFORMATICA DI BRUSCHETTI FRANCO & C. S.N.C., AUTOCAD PER AGGIORNARSI ED AMPLIARE LE PROPRIE COMPETENZE,2008, 70.015, 0
II, E, CLM-BELL S.R.L., Corso di lingua inglese - livello base A1/A2,2008, 31.514, 0
II, E, CLM-BELL S.R.L., Corso di lingua tedesca - livello base - A1/A2,2008, 32.778, 0
II, E, FORMAZIONE S.P.A. - SOCIET?Ä CONSORTILE, SUPERARE IL LIMITE DEI 50! SVILUPPO DELLE COMPETENZE E RIQUALIFICAZIONE PROFESSIONALE IN AMBITO AMMI...,2008, 42.796, 0
II, E, VILLA S. IGNAZIO COOPERATIVA DI SOLIDARIETA' SOCIALE - ONLUS, Ripensarsi Operatori Sociali,2008, 22.313, 0
II, E, FORMAZIONE E SVILUPPO S.R.L., RECUPERO E SVILUPPO DELLE COMPETENZE IN AMBITO AMMINISTRATIVO,2008, 40.082, 0
II, E, I.S.I.T. SAS DI BETTONTE LOREDANA & C., Multilinguismo e Multiculturalità per gli operatori sanitari,2008, 46.975, 0
