Beneficiaries,Portefeuilles,Project name,Decision date,Total eligible costs,Amount awarded by the FEDER,Amount awarded by Wallonnia region,Total cost,Final FEDER
Port autonome de Liege,Plate-forme multimediade Liege Trilogiport,8a Etude d'incidence sur l'environnement,24/07/2008,"150,000.00","60,000.00","90,000.00",n/a,n/a
Port autonome de Liege,Plate-forme multimediade Liege Trilogiport,9a Installation des voies ferrees,24/07/2008,"1,000,000.00","400,000.00","600,000.00",n/a,n/a
Port autonome de Namur,Sambreville-Pole de developpement de la Basse-Sambre,Equipement de la zone portuaire de Saint-Gobain - Acces et infrastructures economiques,24/07/2008,"2,650,000.00","1,060,000.00","1,590,000.00",n/a,n/a
SPI+,Centre du design a Liege,Equipement de la zone portuaire de Saint-Gobain - Acces et infrastructures economiques,24/07/2008,"1,500,000.00","600,000.00","750,000.00",n/a,n/a
SPI+,Extension de le plate-forme multimedia de LIEGE LOGISTICS,Extension Plate-forme multimedia,24/07/2008,"3,600,000.00","1,371,168","1,868,901",n/a,n/a
SPI+,Extension LIEGE science park,Extension LIEGE science park,24/07/2008,"12,100,000.00","4,689,476","6,200,659",n/a,n/a
SPI+,GIGA bioindustry support,ACCUEIL ENTREPRISES,24/07/2008,"4,150,000.00","1,660,000.00","2,075,000.00",n/a,n/a
SPI+,Requalification des terrains entourant la gare de Bressoux a Liege,Equipement,24/09/2008,"400,000.00","147,584.00","212,410.27",n/a,n/a
SPI+,SPI+ - INTERVAPEUR - ABATTOIR,Equipement,24/07/2008,"781,466","284,109","419,204",n/a,n/a
SPW - DG01,Requalification urbaine de la vallee seresienne,V5.2: BVDU- Travaux,24/07/2008,"6,330,000.00","2,532,000.00","3,798,000.00",n/a,n/a
SPW - DG01,Requalification urbaine de la vallee seresienne,VB.2: BVDU derriere les Ateliers centre-Travaux,24/07/2008,"293,000.00","117,200.00","175,800.00",n/a,n/a
SPW - DG01,"Amelioration de l'accessibilite de la ville de Vielsam et du pole d'activite economique ""bois"" luxembourgeois de Burtonville",voirie regionale,24/07/2008,"2,104,115","841,646","1,262,469",n/a,n/a
SPW - DG01,Sambreville-Pole de developpement de la Basse-Sambre,Giratoire Sainte-Eugenie,24/07/2008,"1,056,000.00","422,400.00","633,600.00",n/a,n/a
SPW - DG01,Desenclavement de la zone Liege-Nord - Mise en oeuvre du Plan de Mobilite Ans-Roccourt,Amenagement des rues Jaures-Francais,24/07/2008,"5,000,000.00","2,000,000.00","3,000,000.00",n/a,n/a
SPW - DG01,Desenclavement de la zone Liege-Nord - Mise en oeuvre du Plan de Mobilite Ans-Roccourt,Liaison N20-E313,24/07/2008,"6,997,500.00","2,799,000.00","4,195,500.00",n/a,n/a
SPW - DG02,Plate-forme multimediade Liege Trilogiport,1 Etude de caracterisation,24/07/2008,"250,000.00","100,000.00","150,000.00",n/a,n/a
SPW - DG02,Plate-forme multimediade Liege Trilogiport,10 Amenagement d'une partie de la rue d'Argenteau,24/07/2008,"900,000.00","360,000.00","540,000.00",n/a,n/a
SPW - DG02,Plate-forme multimediade Liege Trilogiport,11 Voirie de liaison avec le nouveau pont- Etude,24/07/2008,"200,000.00","80,000.00","120,000.00",n/a,n/a
SPW - DG02,Plate-forme multimediade Liege Trilogiport,12 Acquisition de terrains pour le nouveau pont,24/07/2008,"1,600,000.00","640,000.00","960,000.00",n/a,n/a
SPW - DG02,Plate-forme multimediade Liege Trilogiport,13 Voirie de liaison avec le pont- Rehabilitation,24/07/2008,"2,500,000.00","1,000,000.00","1,500,000.00",n/a,n/a
SPW - DG02,Plate-forme multimediade Liege Trilogiport,14 Etude du nouveau pont et de ses raccordements,24/07/2008,"900,000.00","360,000.00","540,000.00",n/a,n/a
SPW - DG02,Plate-forme multimediade Liege Trilogiport,15 Realisation du nouveau pont et de ses raccordements,24/07/2008,"8,000,000.00","3,200,000.00","4,800,000.00",n/a,n/a
SPW - DG02,Plate-forme multimediade Liege Trilogiport,2 Assainissement du site,24/07/2008,"1,200,000.00","480,000.00","720,000.00",n/a,n/a
SPW - DG02,Plate-forme multimediade Liege Trilogiport,4 Mesures d'accompagnement et d'integration,24/07/2008,"1,800,000.00","720,000.00","1,080,000.00",n/a,n/a
SPW - DG02,Plate-forme multimediade Liege Trilogiport,5 Liaison carrossable et ferroviaire entre Liege Trilogiport et le site de Chertal,24/07/2008,"2,300,000.00","920,000.00","1,360,000.00",n/a,n/a
SPW - DG02,Plate-forme multimediade Liege Trilogiport,6 Mesures d'accompagnement- Marche de services,24/07/2008,"300,000.00","120,000.00","180,000.00",n/a,n/a
SPW - DG02,Plate-forme multimediade Liege Trilogiport,7b Etude technique des voies ferrees,24/07/2008,"80,000.00","32,000.00","48,000.00",n/a,n/a
SPW - DG02,Plate-forme multimediade Liege Trilogiport,8b Etude d'incidence sur l'environnement,24/07/2008,"100,000.00","40,000.00","60,000.00",n/a,n/a
SPW - DG02,Plate-forme multimediade Liege Trilogiport,9b installation des voies ferrees,24/07/2008,"600,000.00","240,000.00","360,000.00",n/a,n/a
SPW - DG02,Sambreville-Pole de developpement de la Basse-Sambre,Equipement de la zone portuaire de Saint-Gobain - Acces et infrastructures portuaires,24/07/2008,"2,050,000.00","820,000.00","1,230,000.00",n/a,n/a
Ville de Seraing,Requalification urbaine de la vallee seresienne,V5.1: BVDU- Etudes et acquisitions,24/07/2008,"1,820,000.00","728,000.00","910,000.00",n/a,n/a
Ville de Seraing,Requalification urbaine de la vallee seresienne,V7: place du parc LD,24/07/2008,"1,393,000.00","557,200.00","696,500.00",n/a,n/a
Ville de Seraing,Requalification urbaine de la vallee seresienne,V8.1: BVDU derriere les ateliers centraux-Etudes,24/07/2008,"110,000.00","44,000.00","55,000.00",n/a,n/a
ASBL Tramway Touristique de l'Aisne,Pleine nature en Ourthe et Aisne,Conservatoire du tramway a vapeur rural en Wallonie,4/9/08,"872,568","349,027","436,284",n/a,n/a
ASBL Attraction et Tourisme,Structuration-qualification et promotion des filieres touristiques de Wallonie,Filiere Détente-Decouverte: reseau des attractions,11/9/08,"300,000.00","120,000.00","150,000.00",n/a,n/a
ASBL gites de Wallonie,Structuration-qualification et promotion des filieres touristiques de Wallonie,Filiere Détente-Decouverte: reseau heb. De terroir ,11/9/08,"201,000.00","80,400.00","100,500.00",n/a,n/a
ASBL HORECA Wallonie,Structuration-qualification et promotion des filieres touristiques de Wallonie,Filiere Détente-Decouverte: reseau hotelier,11/9/08,"201,000.00","80,400.00","100,500.00",n/a,n/a
ASBL Liege Congres,Structuration-qualification et promotion des filieres touristiques de Wallonie,Filiere MICE: cellule MICE liegeois,11/9/08,"498,000.00","199,200.00","249,000.00",n/a,n/a
ASBL MNEMA,"Mnema, Cite Miroir/Rehabilitation des Bains et Themes de la Sauveniere-Liege",AUTRES TRAVAUX DE REHABILITATION,30/04/2009,"5,688,677","2,275,470.90","2,844,338",n/a,n/a
ASBL Musees et Societe  en Wallonie,Structuration-qualification et promotion des filieres touristiques de Wallonie,Filiere Détente-Decouverte: reseaux museaux,11/9/08,"300,000.00","120,000.00","150,000.00",n/a,n/a
ASBL pays de Famenne,Pleine nature en Ourthe et Aisne,Voie lente en Ourthe et Aisne - MET,4/9/08,"969,520.37","387,808","484,760.18",n/a,n/a
ASBL WALCAMP,Structuration-qualification et promotion des filieres touristiques de Wallonie,Détente-Decouverte: reseaux des campings,11/9/08,"300,000.00","120,000.00","150,000.00",n/a,n/a
ASBL WANT,Structuration-qualification et promotion des filieres touristiques de Wallonie,Filiere Activite de pleine nature,11/9/08,"700,000.00","260,000.00","350,000.00",n/a,n/a
BEPN,"Projet CTW Attractivite touristique Namur, Liege, Luxembourg",Projet 3: Accompagnement ingenierie operationnelle- BEPN,4/9/08,"200,000.00","80,000.00","100,000.00",n/a,n/a
CITW,"Projet CTW Attractivite touristique Namur, Liege, Luxembourg",Projet 2: Coordination et ingenierie operationnelle,4/9/08,"2,860,750.00","1,144,300.00","1,716,450.00",n/a,n/a
Commissariat General au Tourisme,"Projet CTW Attractivite touristique Namur, Liege, Luxembourg",projet 1: Qualite,4/9/08,"899,250.00","359,700.00","539,550.00",n/a,n/a
Commissariat General au Tourisme,Structuration-qualification et promotion des filieres touristiques de Wallonie,Filiere MICE: Base de donnees tourisme d'affaires,11/9/08,"100,000.00","40,000.00","60,000.00",n/a,n/a
Commune d'Ans,Ans en action,AMELIORATION DE LA RUE ET DE LA PLACE DU CIMETIERE,24/07/2008,"1,939,040.75","775,616","969,520.38",n/a,n/a
Commune d'Ans,Ans en action,Liaison RAVeL-quartier ,24/07/2008,"181,494","72,597","90,747",n/a,n/a
Commune d'Ans,Ans en action,PARC PUBLIC MONFORT,24/07/2008,"405,259","162,103","202,629",n/a,n/a
Commune d'Ans,Ans en action,REAMENAGEMENT DE LA PLACE BRIGNOUL,24/07/2008,"1,944,470.05","777,768","972,235",n/a,n/a
Commune d'Ans,Ans en action,REALISATION D'UN PARC PUBLIC DES COTEAUX,24/07/2008,"1,458,352","583,341","729,176",n/a,n/a
Commune de Bouillon,Dynamisation des poles touristiques majeurs de la province de Luxembourg,Bouillon- Parc des Sepulchrines,4/9/08,"1,153,296","461,316","576,648",n/a,n/a
Commune de Ciney,Amenagement des poles urbains,Amenagement pole urbain Ciney,4/9/08,"2,520,752","1,006,301","1,260,376",n/a,n/a
Commune de DISON,VERDI,P 2.2. Citadelle-Montagne,4/9/08,"500,251","200,100.48","250,125",n/a,n/a
Commune de Herstal,Redynamisation urbaine du centre de Herstal,JAURES,27/05/2009,"5,720,170.17","2,266,068","2,860,085",n/a,n/a
Commune de Herstal,Redynamisation urbaine du centre de Herstal,JAURES-Energie,27/05/2009,"38,780.81","15,512","19,390.41",n/a,n/a
Commune de Herstal,Redynamisation urbaine du centre de Herstal,MAREXHE-GARE,27/05/2009,"11,768,029","4,707,211","5,884,014",n/a,n/a
Commune de Herstal,Redynamisation urbaine du centre de Herstal,MAREXHE-GARE Parc,27/05/2009,"256,728","102,691","128,364",n/a,n/a
Commune de Philippeville,Amenagement des poles urbains,Amenagement pole urbain Philippeville (DGATLP),4/9/08,"969,520.37","387,808","484,760.18",n/a,n/a
Commune de Philippeville,Amenagement des poles urbains,Amenagement pole urbain Philippeville (partie CGT),4/9/08,"484,760,18","193,904","242,380.09",n/a,n/a
Commune de Philippeville,Amenagement des poles urbains,Amenagement pole urbain Philippeville (partie CF),4/9/08,"484,760,18","193,904","242,380.09",n/a,n/a
Commune d'ENGIS,"ENGIS, PORTE OUEST DU BASSIN LIEGEOIS",AMENAGEMENT DES QUAIS DE MEUSE,24/07/2008,"785,311.50","314,124","392,655",n/a,n/a
Commune d'ENGIS,"ENGIS, PORTE OUEST DU BASSIN LIEGEOIS",MISE EN VALEUR PONT D'ENGIS - Liaison cyclo,24/07/2008,"376,173","150,469","188,086",n/a,n/a
Commune d'ENGIS,"ENGIS, PORTE OUEST DU BASSIN LIEGEOIS",MISE EN VALEUR PONT D'ENGIS - Liaison Enighoul/Pont,24/07/2008,"58,171","23,268","29,085",n/a,n/a
Federation du Tourisme de la province de Namur,Structuration-qualification et promotion des filieres touristiques de Wallonie,Filiere MICE: cellule MICE namuroise,11/9/08,"500,000.00","200,000.00","250,000.00",n/a,n/a
Federation du Tourisme de la province du Luxembourg belge,Structuration-qualification et promotion des filieres touristiques de Wallonie,Filiere MICE: Cellule Green MICE luxembourgeoise,11/9/08,"650,000.00","260,000.00","325,000.00",n/a,n/a
Idelux,Pleine nature en Ourthe et Aisne,Parc CHLOROPHYLLE,4/9/08,"1,098,509","439,403","549,254",n/a,n/a
Idelux,"Projet CTW Attractivite touristique Namur, Liege, Luxembourg",projet 4: Accompagnement ingenierie operationnelle - IDELUX,4/9/08,"200,000.00","80,000.00","100,000.00",n/a,n/a
Idelux,Voie de la liberte,Centre de la memoire de la 2e Guerre Mondiale,4/9/08,"4,847,601","1,939,040.74","2,423,800.92",n/a,n/a
IPW,Plan de developpement de l'abbaye de Villiers-la-Ville,1. Moulin abbatial: restauration (P1),15/10/2008,"2,538,409","1,012,622","1,518,933",n/a,n/a
IPW,Plan de developpement de l'abbaye de Villiers-la-Ville,3. Amenagement signaletique/scenographie (P2),15/10/2008,"708,564","282,660.48","423,990.67",n/a,n/a
IPW,Plan de developpement de l'abbaye de Villiers-la-Ville,4. Amenagements abords (P2),15/10/2008,"581,627","232,022","346,034",n/a,n/a
IPW,Plan de developpement de l'abbaye de Villiers-la-Ville,7.Buanderie et porte de la ferme: restauration (P4),15/10/2008,"391,253","156,078","234,118",n/a,n/a
Les Lacs de l'Eau d'Heure,De Cerfontaine au Ri jaune,Falemprise,4/9/08,"484,760,18","193,904","290,856",n/a,n/a
Les Lacs de l'Eau d'Heure,Infrastructures generales,Securisation generale du site et signaletique,4/9/08,"232,684","93,073","139,610.94",n/a,n/a
Office de Promotion du Tourisme de Wallonie et de Bruxelles ASBL,Structuration-qualification et promotion des filieres touristiques de Wallonie,Promotion federale des filieres touristiques,11/9/08,"300,000.00","120,000.00","180,000.00",n/a,n/a
Province de Namur,Tourisme Decouverte: vitrine de projets innovants,n/a,4/9/08,"3,102,465","1,239,246","1,553,088",n/a,n/a
Societe de developpement de Liege Guillemins (SDLG),Developpement du quartier de la gare TGV de Liege,Amenagements place,29/01/2009,"8,725,683","3,490,273","4,362,841",n/a,n/a
SPI+,"31 communes au soleil, projet de sensibilisation a la technologie photovoltaique",31 communes au soleil,24/07/2008,"2,290,495","752,840.14","1,129,290.22",n/a,n/a
SPI+,"Projet CTW Attractivite touristique Namur, Liege, Luxembourg",projet 5: accompagnement ingenierie operationnelle - SPI+,4/9/08,"200,000.00","80,000.00","100,000.00",n/a,n/a
SPW - DG01,Developpement du quartier de la gare TGV de Liege,Amenagements des quais,29/01/2009,"12,675,567","5,070,226","7,803,340.47",n/a,n/a
SPW - DG01,Requalification urbaine de la vallee seresienne,V1: rue Cockerill,24/07/2008,"3,803,428","1,521,371","2,282,057",n/a,n/a
SPW - DG01,Requalification urbaine de la vallee seresienne,V3.2: liaison Janson-Charbonnage-Travaux,24/07/2008,"153,184","61,273","91,910.53",n/a,n/a
SPW - DG01,Requalification urbaine de la vallee seresienne,V9: N90 Ivoz Ramet,24/07/2008,"149,306","59,722","89,583",n/a,n/a
SPW - DG01,Renforcement du pole de Marche-en-Famenne comme moteur du Nord de la province de Luxembourg,Amenagement du boulevard urbain,24/07/2008,"5,343,000.00","2,137,200.00","3,205,800.00",n/a,n/a
SPW - DG02,Developpement du quartier de la gare TGV de Liege,Construction de la passerelle,29/01/2009,"8,566,568","3,426,627","5,139,941",n/a,n/a
SPW - DG02,Plan de developpement de l'abbaye de Villiers-la-Ville,"9. Ferme: restauration, renovation, reaffectation (P5)",15/10/2008,"2,441,933","974,136","1,461,204",n/a,n/a
SRWT (Societe Regional Wallonne des Transports),Requalification urbaine de la vallee seresienne,V2: TCSP rue Cockerill,24/07/2008,"1,078,106","431,242","646,863",n/a,n/a
Ville de Liege,Developpement innovant de l'attractivite culturelle urbaine de Liege,Renovation du NAMAC,24/07/2008,"23,568,415","9,427,366","11,764,207",n/a,n/a
Ville de Liege,Developpement innovant de l'attractivite culturelle urbaine de Liege,Renovation et transformation de l'Opera,24/07/2008,"26,012,644","10,405,057","13,006,322",n/a,n/a
Ville de Seraing,Requalification urbaine de la vallee seresienne,V3.1; liaison Janson Charbonnage- Etudes,24/07/2008,"10,664","4,265","5,332",n/a,n/a
Ville de Seraing,Requalification urbaine de la vallee seresienne,V4: passage sous voies,24/07/2008,"2,977,397","1,190,958","1,488,698",n/a,n/a
Ville de Seraing,Requalification urbaine de la vallee seresienne,V6: place du centre culturel,24/07/2008,"1,325,334","530,133","662,667",n/a,n/a
Ville de Verviers,VERDI,P1.1.a. Revitalisation urbaine Spintay- Partie A,4/9/08,"8,948,175","3,579,270,25","4,474,087",n/a,n/a
Ville de Verviers,VERDI,P1.1.b Revitalisation urbaine Spintay- Partie A,4/9/08,"378,111","151,244","189,055",n/a,n/a
Ville de Verviers,VERDI,P1.2. Revitalisation urbaine Spintay- Partie B,4/9/08,"3,325,400.00","1,330,160.00","1,662,700.00",n/a,n/a
